HT - % diff Car,HT - % diff LT,Car - % diff LT,Car - % diff HT,LT - % diff Car,LT - % diff HT,HT - % diff AVG,Car - % diff AVG,LT - % diff AVG
-7.089841151,3.906559042,0.722549306,-3.181470853,-2.77646506,4.315914975,0,-1.19305157,3.454649485
-1.325296015,1.083716563,1.517715796,-6.270565117,-2.044049887,-7.423318223,0,-2.313572655,-2.086474406
4.706905478,-7.296470835,-3.243718731,8.037125335,-1.048340023,-1.77087227,0,4.865578097,1.19728178
1.134512029,-2.342129923,-0.285818362,-3.086755397,0.896345666,-5.381233321,0,0.075807317,-2.011394425
0.954599803,-2.119462057,-0.957421809,-4.732287028,0.863043708,-5.985883371,0,-0.157106618,-2.164470286
-0.33235585,-1.224364666,-0.395224669,-2.373973666,0.384328028,-2.486429785,0,-0.147343311,-0.835445248
2.31925216,-3.846882026,-3.492841084,-7.642645841,2.012779553,-8.303159389,0,-1.144006626,-3.019169329
-7.26942299,5.89546839,4.653524492,-19.05749912,-3.943241288,-14.48937352,0,-6.980286738,-1.681432682
-2.751956174,-2.751715902,-1.165204903,0.625961175,-0.91814403,0.87326232,0,1.614417462,0.32747337
-3.410196485,2.455462568,-0.897287545,-0.920727761,-1.831502123,4.010716715,0,1.078601572,2.145318136
5.788369657,-9.291350917,-0.274754907,-23.57643988,6.210001012,-32.17140454,0,-4.694683908,-11.2515971
-0.31662346,0.31662346,0.15963833,-8.561170806,-1.284566829,-9.372129046,0,-2.435737526,-2.117493281
-0.004830383,0.004830383,-0.247768419,-5.607050378,-1.171673927,-6.52129512,0,-0.702495794,-0.782141797
-3.54149989,3.336298072,0.289906349,-3.934563852,-1.863422223,0.789905538,0,-1.468560782,2.750825947
-7.646276596,2.979152368,-0.503317319,-1.38054793,-3.313172043,6.43502631,0,-0.35389499,3.998870396
-0.292803863,-2.191177686,-1.059237015,-0.443357679,-0.693394048,-1.975888535,0,1.588855523,-0.510032039
-3.9938129,3.320077262,0.403153882,-2.481883486,-2.980886883,1.447965912,0,-0.604730823,4.131006491
2.553261221,-3.550269617,-3.466844682,-4.862830992,0.810701666,-6.688815483,0,2.338374999,-1.36133562
-0.516515369,-2.722439933,-2.342288557,3.390849858,-0.78504476,2.742169091,0,2.391964349,1.177567141
-2.56105251,-0.078688456,-0.751120116,-5.541700762,-0.903888201,-3.212104792,0,-0.20405027,0.558883622
-0.504527108,-0.242718447,0.725428166,-9.386931384,-0.551434493,-10.40198538,0,-2.930802516,-2.564088579
-15.10268749,11.77185936,2.374573379,-9.498293515,-8.549694365,6.451985594,0,-3.561860068,12.11057372
-2.716553781,-1.307655773,-1.211028473,0.903445886,-1.340576807,2.18279556,0,1.816542709,1.805940854
-1.112294382,-1.320172731,-0.116297297,-2.303807457,-1.368206287,-3.763594796,0,-0.222732357,-0.198548091
-0.455540832,-0.823401041,-0.391535683,-6.419135611,1.011027995,-5.384432144,0,-2.279107009,-1.680728162
6.820846737,-6.820846737,-5.649147988,-8.353544868,0.170264518,-16.17582583,0,6.481197541,-3.537875946
