Accident Type,MAIS,PassengerCar_Count,PassengerCar_%,LightTruck_Count,LightTruck_%,HeavyTruck_Count,HeavyTruck_%,AverageOf_PassengerCar_and_HeavyTruck
2,0,114,25.16556291,32,20.12578616,32,32.32323232,28.74439762
2,1,131,28.9183223,65,40.88050314,33,33.33333333,31.12582781
2,2,60,13.24503311,15,9.433962264,7,7.070707071,10.15787009
2,3,59,13.02428256,28,17.61006289,7,7.070707071,10.04749482
2,4,42,9.271523179,8,5.031446541,7,7.070707071,8.171115125
2,5,21,4.635761589,2,1.257861635,3,3.03030303,3.83303231
2,6,12,2.649006623,1,0.628930818,1,1.01010101,1.829553816
2,7,14,3.090507726,8,5.031446541,9,9.090909091,6.090708409
85,0,0,0,0,0,0,0,0
85,1,0,0,0,0,0,0,0
85,2,0,0,0,0,0,0,0
85,3,0,0,0,0,0,0,0
85,4,0,0,0,0,0,0,0
85,5,0,0,0,0,0,0,0
85,6,0,0,0,0,0,0,0
85,7,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0
39,1,0,0,0,0,0,0,0
39,2,0,0,0,0,0,0,0
39,3,0,0,0,0,0,0,0
39,4,0,0,0,0,0,0,0
39,5,0,0,0,0,0,0,0
39,6,0,0,0,0,0,0,0
39,7,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
34,1,0,0,0,0,0,0,0
34,2,0,0,0,0,0,0,0
34,3,0,0,0,0,0,0,0
34,4,0,0,0,0,0,0,0
34,5,0,0,0,0,0,0,0
34,6,0,0,0,0,0,0,0
34,7,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0
76,1,0,0,0,0,0,0,0
76,2,0,0,0,0,0,0,0
76,3,0,0,0,0,0,0,0
76,4,0,0,0,0,0,0,0
76,5,0,0,0,0,0,0,0
76,6,0,0,0,0,0,0,0
76,7,0,0,0,0,0,0,0
69,0,923,35.33690658,263,33.24905183,103,29.76878613,32.55284636
69,1,1242,47.54977029,349,44.12136536,167,48.26589595,47.90783312
69,2,217,8.307810107,72,9.102402023,38,10.98265896,9.645234533
69,3,124,4.747320061,26,3.286978508,16,4.624277457,4.685798759
69,4,28,1.071975498,8,1.011378003,8,2.312138728,1.692057113
69,5,5,0.191424196,8,1.011378003,2,0.578034682,0.384729439
69,6,0,0,0,0,0,0,0
69,7,73,2.794793262,65,8.217446271,12,3.468208092,3.131500677
78,0,0,0,0,0,0,0,0
78,1,0,0,0,0,0,0,0
78,2,0,0,0,0,0,0,0
78,3,0,0,0,0,0,0,0
78,4,0,0,0,0,0,0,0
78,5,0,0,0,0,0,0,0
78,6,0,0,0,0,0,0,0
78,7,0,0,0,0,0,0,0
