UniqueCASEID,WGTCDTR_D,VEHNO,VEHNO,FUELCAP1,FUELCAP2,FUELGT2,FUELLOC1,FUELLOC2,FUELTNK1,FUELTNK2,FUELTYP1,FUELTYP2,ORIGAVTW,PSU,RATWGT,STRATIF,WHEELBAS
100A11,Passenger Vehicle,1,1,3,0,0,6,0,2,0,1,0,151,11,41.87,A,288
100B73,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,150,73,22.278,B,272
100B73,6001-10000 Lbs,2,2,4,0,0,5,0,2,0,1,0,172,73,22.278,B,357
100B81,6001-10000 Lbs,2,2,4,0,0,5,0,2,0,1,0,171,81,23.095,B,389
100C4,6000 lbs & Under,1,1,3,0,0,6,0,1,0,1,0,157,4,10.522,C,271
100C42,6001-10000 Lbs,2,2,4,0,0,5,0,2,0,1,0,165,42,3.516,C,399
100C47,Passenger Vehicle,1,1,3,0,0,6,0,2,0,1,0,149,47,41.057,C,262
100C79,6001-10000 Lbs,1,1,2,0,0,5,0,1,0,1,0,156,79,6.985,C,295
100C79,6001-10000 Lbs,2,2,4,0,0,5,0,1,0,1,0,167,79,6.985,C,295
100D74,Passenger Vehicle,1,1,2,0,0,7,0,1,0,1,0,146,74,14.31,D,245
1.00E+14,Passenger Vehicle,1,1,3,0,0,4,0,2,0,1,0,145,12,90.299,E,264
1.00E+14,Passenger Vehicle,2,2,3,0,0,4,0,2,0,1,0,149,12,90.299,E,262
1.00E+04,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,157,2,2051.06,E,276
1.00E+51,Passenger Vehicle,2,2,3,0,0,1,0,2,0,1,0,153,49,73.671,E,257
1.00E+08,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,156,6,64.508,E,274
100F48,Passenger Vehicle,2,2,3,0,0,4,0,1,0,1,0,150,48,3369.758,F,272
100F50,Passenger Vehicle,1,1,2,0,0,5,0,2,0,1,0,154,50,127.271,F,257
100F50,6000 lbs & Under,2,2,4,0,0,5,0,2,0,1,0,139,50,127.271,F,312
100F76,6000 lbs & Under,1,1,2,0,0,5,0,1,0,1,0,149,76,586.421,F,284
100F9,Passenger Vehicle,1,1,3,0,0,6,0,2,0,1,0,150,9,411.618,F,272
100G41,6001-10000 Lbs,1,1,4,0,0,5,0,2,0,1,0,172,41,448.173,G,357
100G41,Passenger Vehicle,2,2,3,0,0,4,0,2,0,1,0,150,41,448.173,G,251
100G45,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,140,45,2267.956,G,238
100G45,6000 lbs & Under,2,2,3,0,0,6,0,2,0,1,0,155,45,2267.956,G,289
100G75,6001-10000 Lbs,1,1,4,0,0,5,0,1,0,1,0,161,75,1547.785,G,392
100G75,Passenger Vehicle,2,2,2,0,0,4,0,1,0,1,0,154,75,1547.785,G,275
100H13,Passenger Vehicle,1,1,1,0,0,1,0,1,0,1,0,143,13,5153.306,H,275
100H13,6001-10000 Lbs,2,2,2,0,0,4,0,1,0,1,0,162,13,5153.306,H,298
100H72,6001-10000 Lbs,1,1,4,0,0,5,0,1,0,1,0,167,72,1319.08,H,343
100H8,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,157,8,3634.03,H,276
100J43,6001-10000 Lbs,1,1,4,0,0,5,0,2,0,1,0,166,43,39.096,J,365
100K5,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,144,5,44.085,K,244
101B48,6000 lbs & Under,1,1,2,0,0,5,0,1,0,1,0,150,48,222.699,B,259
101B48,6001-10000 Lbs,2,2,4,0,0,5,0,1,0,1,0,168,48,222.699,B,357
101C45,Passenger Vehicle,2,2,3,0,0,4,0,2,0,1,0,145,45,26.893,C,264
101D13,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,145,13,64.523,D,264
101D47,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,148,47,419.707,D,262
1.01E+13,Passenger Vehicle,1,1,3,0,0,4,0,2,0,1,0,156,11,88.202,E,286
1.01E+04,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,151,2,273.793,E,256
1.01E+44,Passenger Vehicle,1,1,3,0,0,6,0,2,0,1,0,148,42,102.792,E,273
1.01E+45,6000 lbs & Under,1,1,2,0,0,1,0,2,0,1,0,151,43,346.733,E,269
1.01E+07,Passenger Vehicle,2,2,3,0,0,4,0,1,0,1,0,158,5,545.399,E,276
1.01E+75,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,149,73,194.965,E,257
1.01E+10,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,148,8,293.369,E,261
101F12,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,146,12,306.871,F,264
101F12,Passenger Vehicle,2,2,3,0,0,4,0,1,0,1,0,158,12,306.871,F,287
101F49,Passenger Vehicle,1,1,3,0,0,4,0,2,0,1,0,145,49,343.357,F,264
101F49,6000 lbs & Under,2,2,2,0,0,5,0,1,0,1,0,152,49,343.357,F,270
101F6,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,157,6,159.056,F,287
101F74,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,150,74,121.866,F,273
101F74,6000 lbs & Under,2,2,4,0,0,4,0,1,0,1,0,148,74,121.866,F,285
101F74,Passenger Vehicle,3,3,2,0,0,4,0,1,0,1,0,148,74,121.866,F,262
101F81,Passenger Vehicle,3,3,3,0,0,6,0,1,0,1,0,146,81,346.334,F,263
101F81,Passenger Vehicle,4,4,3,0,0,4,0,2,0,1,0,150,81,346.334,F,272
101G4,Passenger Vehicle,2,2,3,0,0,6,0,1,0,1,0,155,4,759.072,G,272
101G4,6000 lbs & Under,3,3,2,0,0,5,0,1,0,1,0,149,4,759.072,G,284
101G50,Passenger Vehicle,1,1,3,0,0,4,0,2,0,1,0,145,50,213.953,G,264
101G50,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,147,50,213.953,G,262
101H75,Passenger Vehicle,1,1,3,0,0,4,0,1,0,1,0,142,75,3712.716,H,252
101H75,6000 lbs & Under,2,2,4,0,0,5,0,1,0,1,0,155,75,3712.716,H,333
101H76,6001-10000 Lbs,1,1,4,0,0,5,0,2,0,2,0,174,76,10605.81,H,403
101H82,Passenger Vehicle,2,2,2,0,0,4,0,2,0,1,0,150,82,698.272,H,262
101H9,Passenger Vehicle,1,1,3,0,0,6,0,2,0,1,0,145,9,1202.805,H,264
101H9,6001-10000 Lbs,2,2,4,0,0,5,0,2,0,1,0,171,9,1202.805,H,389
102B47,6000 lbs & Under,1,1,2,0,0,5,0,1,0,1,0,148,47,95.153,B,284
102B47,Passenger Vehicle,2,2,2,0,0,4,0,1,0,1,0,146,47,95.153,B,254
102C48,6000 lbs & Under,1,1,2,0,0,5,0,2,0,1,0,156,48,600.453,C,262
102C9,6000 lbs & Under,2,2,2,0,0,1,0,1,0,1,0,147,9,66.426,C,269
102D2,Passenger Vehicle,1,1,2,0,0,4,0,1,0,1,0,150,2,161.024,D,265
102D41,6000 lbs & Under,2,2,6,0,0,5,0,1,0,1,0,150,41,84.84,D,273
102D42,Passenger Vehicle,2,2,3,0,0,1,0,2,0,1,0,155,42,67.975,D,287
102D72,6000 lbs & Under,2,2,2,0,0,5,0,2,0,1,0,153,72,60.231,D,262
102D72,Passenger Vehicle,3,3,2,0,0,4,0,2,0,1,0,153,72,60.231,D,281
1.02E+08,6000 lbs & Under,1,1,3,0,0,6,0,2,0,1,0,158,6,74.452,E,271
102F43,6000 lbs & Under,1,1,2,0,0,1,0,2,0,1,0,139,43,451.819,F,255
102F79,Passenger Vehicle,2,2,3,0,0,1,0,1,0,1,0,154,79,323.007,F,257
102G13,Passenger Vehicle,1,1,2,0,0,4,0,2,0,1,0,157,13,704.025,G,274
102G49,Passenger Vehicle,1,1,3,0,0,6,0,2,0,1,0,155,49,338.844,G,285
102G74,6000 lbs & Under,1,1,6,0,0,5,0,1,0,1,0,155,74,141.625,G,284
